Helység;jogállása;Megye ;megye székhely;Terület  (hektár);Lakó-népesség;Lakások száma
Kétbodony;község;Nógrád;Rétság;1305;433;235
Kétegyháza;nagyközség;Békés;Gyula;5050;3578;1726
Kéthely;község;Somogy;Marcali;4906;2282;875
Kétpó;község;Jász-Nagykun-Szolnok;Mezőtúr;6676;690;304
Kétsoprony;község;Békés;Békéscsaba;5124;1330;579
Kétújfalu;község;Baranya;Szigetvár;1630;703;262
Kétvölgy;község;Vas;Szentgotthárd;627;97;70
Kéty;község;Tolna;Bonyhád;1652;698;265
Kevermes;nagyközség;Békés;Mezőkovácsháza;4334;2049;1061
Kilimán;község;Zala;Nagykanizsa;572;237;97
Kimle;község;Győr-Moson-Sopron;Mosonmagyaróvár;3726;2285;875
Kincsesbánya;község;Fejér;Mór;1087;1451;613
Királd;község;Borsod-Abaúj-Zemplén;Putnok;788;785;406
Királyegyháza;község;Baranya;Szentlőrinc;2288;909;321
Királyhegyes;község;Csongrád;Makó;2976;626;343
Királyszentistván;község;Veszprém;Balatonalmádi;891;468;161
Kisapáti;község;Veszprém;Tapolca;689;327;152
Kisapostag;község;Fejér;Dunaújváros;959;1374;575
Kisar;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;1520;1145;390
Kisasszond;község;Somogy;Kaposvár;784;162;76
Kisasszonyfa;község;Baranya;Sellye;887;213;71
Kisbabot;község;Győr-Moson-Sopron;Tét;610;221;107
Kisbágyon;község;Nógrád;Pásztó;1024;423;197
Kisbajcs;község;Győr-Moson-Sopron;Győr;875;886;287
Kisbajom;község;Somogy;Nagyatád;1367;402;172
Kisbárapáti;község;Somogy;Tab;2871;375;228
Kisbárkány;község;Nógrád;Salgótarján;803;143;100
Kisbér;város;Komárom-Esztergom;Kisbér;5216;5348;2149
Kisberény;község;Somogy;Fonyód;746;206;63
Kisberzseny;község;Veszprém;Devecser;529;82;59
Kisbeszterce;község;Baranya;Sásd;747;83;36
Kisbodak;község;Győr-Moson-Sopron;Mosonmagyaróvár;909;359;164
Kisbucsa;község;Zala;Zalaegerszeg;880;455;185
Kisbudmér;község;Baranya;Bóly;572;106;41
Kiscsécs;község;Borsod-Abaúj-Zemplén;Tiszaújváros;413;201;50
Kiscsehi;község;Zala;Letenye;1143;165;98
Kiscsősz;község;Veszprém;Devecser;904;111;73
Kisdér;község;Baranya;Siklós;437;121;54
Kisdobsza;község;Baranya;Szigetvár;996;241;104
Kisdombegyház;község;Békés;Mezőkovácsháza;1261;467;266
Kisdorog;község;Tolna;Bonyhád;2000;738;287
Kisecset;község;Nógrád;Rétság;862;150;145
Kisfalud;község;Győr-Moson-Sopron;Kapuvár;1510;749;309
Kisfüzes;község;Heves;Pétervására;481;130;79
Kisgörbő;község;Zala;Zalaszentgrót;659;158;97
Kisgyalán;község;Somogy;Kaposvár;941;194;104
Kisgyőr;község;Borsod-Abaúj-Zemplén;Miskolc;7112;1680;644
Kishajmás;község;Baranya;Sásd;1176;187;93
Kisharsány;község;Baranya;Siklós;1293;481;200
Kishartyán;község;Nógrád;Salgótarján;895;527;256
Kisherend;község;Baranya;Pécs;692;194;81
Kishódos;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;892;68;33
Kishuta;község;Borsod-Abaúj-Zemplén;Sátoraljaújhely;517;295;153
Kisigmánd;község;Komárom-Esztergom;Komárom;1314;450;201
Kisjakabfalva;község;Baranya;Siklós;662;117;75
Kiskassa;község;Baranya;Siklós;1333;252;108
Kiskinizs;község;Borsod-Abaúj-Zemplén;Szikszó;717;323;126
Kiskorpád;község;Somogy;Kaposvár;1695;893;340
Kisköre;város;Heves;Heves;6839;2911;1271
Kiskőrös;város;Bács-Kiskun;Kiskőrös;10223;14164;6752
Kiskunfélegyháza;város;Bács-Kiskun;Kiskunfélegyháza;25627;29153;14559
Kiskunhalas;város;Bács-Kiskun;Kiskunhalas;22759;27714;12632
Kiskunlacháza;nagyközség;Pest;Ráckeve;9351;8821;3484
Kiskunmajsa;város;Bács-Kiskun;Kiskunmajsa;22198;11381;5332
Kiskutas;község;Zala;Zalaegerszeg;468;161;85
Kisláng;község;Fejér;Enying;5306;2442;1017
Kisléta;község;Szabolcs-Szatmár-Bereg;Nyírbátor;2200;1899;568
Kislippó;község;Baranya;Siklós;837;274;115
Kislőd;község;Veszprém;Ajka;3818;1202;440
Kismányok;község;Tolna;Bonyhád;543;325;130
Kismarja;község;Hajdú-Bihar;Derecske;4713;1254;535
Kismaros;község;Pest;Szob;1196;2183;783
Kisnamény;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;1798;311;147
Kisnána;község;Heves;Gyöngyös;2261;1014;523
Kisnémedi;község;Pest;Vác;1384;616;286
Kisnyárád;község;Baranya;Mohács;903;167;108
Kisoroszi;község;Pest;Szentendre;1094;951;440
Kispalád;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;1673;963;185
Kispáli;község;Zala;Zalaegerszeg;451;286;114
Kispirit;község;Veszprém;Devecser;496;59;61
Kisrákos;község;Vas;Körmend;1106;186;104
Kisrécse;község;Zala;Nagykanizsa;342;193;96
Kisrozvágy;község;Borsod-Abaúj-Zemplén;Cigánd;834;169;89
Kissikátor;község;Borsod-Abaúj-Zemplén;Ózd;1038;295;131
Kissomlyó;község;Vas;Celldömölk;858;220;150
Kistamási;község;Baranya;Szigetvár;439;111;44
Kistapolca;község;Baranya;Siklós;357;180;74
Kistarcsa;város;Pest;Gödöllő;1101;12212;4689
Kistelek;város;Csongrád;Kistelek;6916;7033;3391
Kistokaj;község;Borsod-Abaúj-Zemplén;Miskolc;976;2084;758
Kistolmács;község;Zala;Letenye;1220;174;81
Kistormás;község;Tolna;Szekszárd;1135;339;125
Kistótfalu;község;Baranya;Siklós;1050;312;131
Kisújszállás;város;Jász-Nagykun-Szolnok;Karcag;20527;11249;4723
Kisunyom;község;Vas;Szombathely;1000;423;180
Kisvárda;város;Szabolcs-Szatmár-Bereg;Kisvárda;3590;16628;6849
Kisvarsány;község;Szabolcs-Szatmár-Bereg;Vásárosnamény;1284;1030;382
Kisvásárhely;község;Zala;Zalaszentgrót;435;37;39
Kisvaszar;község;Baranya;Sásd;2035;317;115
Kisvejke;község;Tolna;Bonyhád;1133;412;142
Kiszombor;nagyközség;Csongrád;Makó;6581;3795;1620
Kiszsidány;község;Vas;Kőszeg;491;93;40
Kisszállás;község;Bács-Kiskun;Kiskunhalas;9205;2382;1213
Kisszékely;község;Tolna;Tamási;2830;296;193
Kisszekeres;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;1465;555;214
Kisszentmárton;község;Baranya;Sellye;1486;246;103
Kissziget;község;Zala;Lenti;707;170;92
Kisszőlős;község;Veszprém;Devecser;649;138;65
Klárafalva;község;Csongrád;Szeged;910;462;201
Kocs;község;Komárom-Esztergom;Tata;5831;2519;974
Kocsér;község;Pest;Nagykőrös;6728;1841;976
Kocsola;község;Tolna;Dombóvár;3334;1287;511
Kocsord;község;Szabolcs-Szatmár-Bereg;Mátészalka;2543;2878;1022
Kóka;község;Pest;Nagykáta;4434;4265;1803
Kokad;község;Hajdú-Bihar;Derecske;1610;661;282
Kolontár;község;Veszprém;Devecser;2171;679;278
Komádi;város;Hajdú-Bihar;Berettyóújfalu;14458;5421;2503
Komárom;város;Komárom-Esztergom;Komárom;6994;18957;8632
Komjáti;község;Borsod-Abaúj-Zemplén;Edelény;1108;213;140
Komló;város;Baranya;Komló;4655;23604;11271
Komlódtótfalu;község;Szabolcs-Szatmár-Bereg;Csenger;696;121;71
Komlósd;község;Somogy;Barcs;746;159;90
Komlóska;község;Borsod-Abaúj-Zemplén;Sárospatak;2986;233;159
Komoró;község;Szabolcs-Szatmár-Bereg;Záhony;1168;1253;453
Kompolt;község;Heves;Füzesabony;2273;1981;761
Kondó;község;Borsod-Abaúj-Zemplén;Miskolc;1962;593;218
Kondorfa;község;Vas;Szentgotthárd;2161;498;299
Kondoros;város;Békés;Szarvas;8184;4997;2483
Kóny;község;Győr-Moson-Sopron;Csorna;2886;2640;1053
Konyár;község;Hajdú-Bihar;Derecske;4166;2183;837
Kópháza;község;Győr-Moson-Sopron;Sopron;873;2081;732
Koppányszántó;község;Tolna;Tamási;2255;314;213
Korlát;község;Borsod-Abaúj-Zemplén;Gönc;791;312;144
Koroncó;község;Győr-Moson-Sopron;Győr;2691;2074;727
Kórós;község;Baranya;Sellye;1512;224;86
Kosd;község;Pest;Vác;3409;2425;911
Kóspallag;község;Pest;Szob;1278;755;311
Kótaj;község;Szabolcs-Szatmár-Bereg;Nyíregyháza;2593;4436;1518
Kovácshida;község;Baranya;Siklós;809;272;93
Kovácsszénája;község;Baranya;Pécs;783;55;42
Kovácsvágás;község;Borsod-Abaúj-Zemplén;Sátoraljaújhely;2108;667;220
Kozárd;község;Nógrád;Pásztó;644;153;131
Kozármisleny;város;Baranya;Pécs;1445;6017;2126
Kozmadombja;község;Zala;Lenti;762;36;32
Köblény;község;Baranya;Komló;804;201;106
Köcsk;község;Vas;Celldömölk;1258;230;165
Kökény;község;Baranya;Pécs;490;619;224
Kőkút;község;Somogy;Kaposvár;2023;594;129
Kölcse;nagyközség;Szabolcs-Szatmár-Bereg;Fehérgyarmat;2824;1411;540
Kölesd;község;Tolna;Szekszárd;3811;1482;612
Kölked;község;Baranya;Mohács;6194;1031;383
Kömlő;község;Heves;Heves;4922;1881;673
Kömlőd;község;Komárom-Esztergom;Oroszlány;2282;1090;392
Kömörő;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;1634;571;237
Kömpöc;község;Bács-Kiskun;Kiskunmajsa;2998;674;362
Körmend;város;Vas;Körmend;5279;11472;5081
Környe;község;Komárom-Esztergom;Tatabánya;4534;4379;1743
Köröm;község;Borsod-Abaúj-Zemplén;Miskolc;834;1374;342
Kőröshegy;község;Somogy;Siófok;2139;1330;643
Körösladány;város;Békés;Szeghalom;12379;4557;1953
Körösnagyharsány;község;Békés;Sarkad;1992;541;337
Köröstarcsa;község;Békés;Békés;6280;2557;1208
Kőröstetétlen;község;Pest;Cegléd;3265;875;374
Körösújfalu;község;Békés;Szeghalom;2530;448;270
Körösszakál;község;Hajdú-Bihar;Berettyóújfalu;1500;833;355
Körösszegapáti;község;Hajdú-Bihar;Berettyóújfalu;4584;1012;497
Kőszárhegy;község;Fejér;Székesfehérvár;590;1475;559
Kőszeg;város;Vas;Kőszeg;5466;11702;4943
Kőszegdoroszló;község;Vas;Kőszeg;961;246;105
Kőszegpaty;község;Vas;Kőszeg;1224;204;79
Kőszegszerdahely;község;Vas;Kőszeg;737;466;199
Kötcse;község;Somogy;Siófok;1954;477;250
Kötegyán;község;Békés;Sarkad;4295;1463;705
Kőtelek;község;Jász-Nagykun-Szolnok;Szolnok;4514;1609;813
Kővágóörs;község;Veszprém;Tapolca;2208;783;363
Kővágószőlős;község;Baranya;Pécs;1825;1232;517
Kővágótöttös;község;Baranya;Pécs;1394;316;129
Kövegy;község;Csongrád;Makó;970;362;232
Köveskál;község;Veszprém;Tapolca;1445;338;168
Krasznokvajda;község;Borsod-Abaúj-Zemplén;Encs;1144;459;203
Kulcs;község;Fejér;Dunaújváros;1671;2735;1078
Kunadacs;község;Bács-Kiskun;Kunszentmiklós;8988;1537;643
Kunágota;község;Békés;Mezőkovácsháza;6396;2650;1319
Kunbaja;község;Bács-Kiskun;Bácsalmás;3373;1544;741
Kunbaracs;község;Bács-Kiskun;Kecskemét;5510;618;294
Kuncsorba;község;Jász-Nagykun-Szolnok;Törökszentmiklós;3363;621;296
Kunfehértó;község;Bács-Kiskun;Kiskunhalas;7837;2052;958
Kunhegyes;város;Jász-Nagykun-Szolnok;Kunhegyes;14890;7636;3356
Kunmadaras;nagyközség;Jász-Nagykun-Szolnok;Karcag;15355;5452;2074
Kunpeszér;község;Bács-Kiskun;Kunszentmiklós;7753;681;304
Kunszállás;község;Bács-Kiskun;Kecskemét;2084;1691;749
Kunszentmárton;város;Jász-Nagykun-Szolnok;Kunszentmárton;14366;8484;3988
Kunszentmiklós;város;Bács-Kiskun;Kunszentmiklós;17204;8334;3546
Kunsziget;község;Győr-Moson-Sopron;Győr;1787;1233;456
Kup;község;Veszprém;Pápa;2478;460;177
Kupa;község;Borsod-Abaúj-Zemplén;Szikszó;784;155;77
Kurd;község;Tolna;Dombóvár;3119;1139;482
Kurityán;község;Borsod-Abaúj-Zemplén;Kazincbarcika;753;1576;602
Kustánszeg;község;Zala;Zalaegerszeg;1142;456;216
Kutas;község;Somogy;Nagyatád;3655;1458;522
Kutasó;község;Nógrád;Pásztó;605;79;75
Kübekháza;község;Csongrád;Szeged;2731;1446;585
Külsősárd;község;Zala;Lenti;152;73;36
Külsővat;község;Veszprém;Pápa;1931;810;256
Küngös;község;Veszprém;Balatonalmádi;948;471;181
Lábatlan;város;Komárom-Esztergom;Esztergom;2638;4839;2080
Lábod;község;Somogy;Nagyatád;6651;1935;746
Lácacséke;község;Borsod-Abaúj-Zemplén;Cigánd;1624;311;133
Lad;község;Somogy;Barcs;2235;572;274
Ladánybene;község;Bács-Kiskun;Kecskemét;4072;1564;727
Ládbesenyő;község;Borsod-Abaúj-Zemplén;Edelény;1040;285;124
Lajoskomárom;nagyközség;Fejér;Enying;7559;2226;876
Lajosmizse;város;Bács-Kiskun;Kecskemét;16463;11292;4852
Lak;község;Borsod-Abaúj-Zemplén;Edelény;1976;686;206
Lakhegy;község;Zala;Zalaegerszeg;858;457;205
Lakitelek;nagyközség;Bács-Kiskun;Tiszakécske;5466;4411;2041
Lakócsa;község;Somogy;Barcs;2532;554;250
Lánycsók;község;Baranya;Mohács;2540;2422;866
Lápafő;község;Tolna;Dombóvár;930;162;85
Lapáncsa;község;Baranya;Siklós;436;192;75
Laskod;község;Szabolcs-Szatmár-Bereg;Baktalórántháza;1359;962;401
Lasztonya;község;Zala;Letenye;877;76;56
Látrány;község;Somogy;Fonyód;2230;1342;585
Lázi;község;Győr-Moson-Sopron;Pannonhalma;1678;558;234
Leányfalu;nagyközség;Pest;Szentendre;1536;3544;1405
Leányvár;község;Komárom-Esztergom;Esztergom;726;1714;630
Lébény;város;Győr-Moson-Sopron;Mosonmagyaróvár;8136;3232;1246
Legénd;község;Nógrád;Rétság;1841;453;250
Legyesbénye;község;Borsod-Abaúj-Zemplén;Szerencs;2031;1504;626
Léh;község;Borsod-Abaúj-Zemplén;Szikszó;843;401;150
Lénárddaróc;község;Borsod-Abaúj-Zemplén;Ózd;516;261;158
Lendvadedes;község;Zala;Lenti;402;29;19
Lendvajakabfa;község;Zala;Lenti;617;16;45
Lengyel;község;Tolna;Bonyhád;2003;545;240
Lengyeltóti;város;Somogy;Fonyód;3957;3003;1198
Lenti;város;Zala;Lenti;7379;7828;3529
Lepsény;nagyközség;Fejér;Enying;3908;2975;1212
Lesencefalu;község;Veszprém;Tapolca;718;302;154
Lesenceistvánd;község;Veszprém;Tapolca;1738;947;388
Lesencetomaj;község;Veszprém;Tapolca;2408;1119;383
Létavértes;város;Hajdú-Bihar;Derecske;11654;7061;2668
Letenye;város;Zala;Letenye;4174;4157;1593
Letkés;község;Pest;Szob;2455;1127;433
Levél;község;Győr-Moson-Sopron;Mosonmagyaróvár;2492;1811;707
Levelek;nagyközség;Szabolcs-Szatmár-Bereg;Baktalórántháza;2572;2950;955
Libickozma;község;Somogy;Marcali;2297;28;46
Lickóvadamos;község;Zala;Zalaegerszeg;669;187;125
Liget;község;Baranya;Komló;1207;366;142
Ligetfalva;község;Zala;Keszthely;472;51;32
Lipót;község;Győr-Moson-Sopron;Mosonmagyaróvár;1609;716;269
Lippó;község;Baranya;Mohács;1453;479;206
Liptód;község;Baranya;Bóly;1499;203;132
Lispeszentadorján;község;Zala;Letenye;914;283;171
Liszó;község;Zala;Nagykanizsa;2591;397;167
Litér;község;Veszprém;Balatonalmádi;1283;2168;746
Litka;község;Borsod-Abaúj-Zemplén;Encs;666;34;46
Litke;község;Nógrád;Salgótarján;1814;876;340
Lócs;község;Vas;Kőszeg;513;122;103
Lókút;község;Veszprém;Zirc;1811;398;202
Lónya;község;Szabolcs-Szatmár-Bereg;Vásárosnamény;3544;912;394
Lórév;község;Pest;Ráckeve;987;290;129
Lothárd;község;Baranya;Pécs;1046;221;110
Lovas;község;Veszprém;Balatonfüred;595;442;182
Lovasberény;község;Fejér;Székesfehérvár;6062;2583;1142
Lovászhetény;község;Baranya;Pécsvárad;895;304;113
Lovászi;község;Zala;Lenti;967;1194;585
Lovászpatona;község;Veszprém;Pápa;4990;1133;512
Lőkösháza;község;Békés;Gyula;5202;1804;825
Lőrinci;város;Heves;Hatvan;2353;5557;2325
Lövő;község;Győr-Moson-Sopron;Sopron;1751;1403;553
Lövőpetri;község;Szabolcs-Szatmár-Bereg;Kisvárda;926;477;220
Lucfalva;község;Nógrád;Salgótarján;1410;614;226
Ludányhalászi;község;Nógrád;Szécsény;2114;1463;492
Ludas;község;Heves;Gyöngyös;1079;736;378
Lukácsháza;község;Vas;Kőszeg;937;1086;384
Lulla;község;Somogy;Tab;1039;176;94
Lúzsok;község;Baranya;Sellye;652;257;71
Mád;község;Borsod-Abaúj-Zemplén;Szerencs;3186;2217;1141
Madaras;község;Bács-Kiskun;Bácsalmás;4931;2862;1469
Madocsa;község;Tolna;Paks;4334;1891;832
Maglóca;község;Győr-Moson-Sopron;Csorna;576;93;53
Maglód;város;Pest;Vecsés;2236;11896;4428
Mágocs;város;Baranya;Sásd;4254;2348;949
Magosliget;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;518;315;89
Magy;község;Szabolcs-Szatmár-Bereg;Baktalórántháza;2071;889;320
Magyaralmás;község;Fejér;Mór;2242;1546;601
Magyaratád;község;Somogy;Kaposvár;1882;786;322
Magyarbánhegyes;község;Békés;Mezőkovácsháza;3656;2294;1101
Magyarbóly;község;Baranya;Siklós;1722;936;369
Magyarcsanád;község;Csongrád;Makó;4800;1424;708
Magyardombegyház;község;Békés;Mezőkovácsháza;765;237;161
Magyaregregy;község;Baranya;Komló;2681;726;328
Magyaregres;község;Somogy;Kaposvár;1440;600;215
Magyarföld;község;Zala;Lenti;889;37;29
Magyargéc;község;Nógrád;Szécsény;1235;895;294
Magyargencs;község;Veszprém;Pápa;3800;496;268
Magyarhertelend;község;Baranya;Komló;1616;623;264
Magyarhomorog;község;Hajdú-Bihar;Berettyóújfalu;3954;922;440
Magyarkeresztúr;község;Győr-Moson-Sopron;Csorna;1676;431;215
Magyarkeszi;község;Tolna;Tamási;3816;1236;614
Magyarlak;község;Vas;Szentgotthárd;762;776;304
Magyarlukafa;község;Baranya;Szigetvár;1297;93;49
Magyarmecske;község;Baranya;Sellye;1195;336;112
Magyarnádalja;község;Vas;Körmend;385;199;87
Magyarnándor;község;Nógrád;Balassagyarmat;1867;1058;466
Magyarpolány;község;Veszprém;Ajka;2696;1175;516
Magyarsarlós;község;Baranya;Pécs;803;267;109
Magyarszecsőd;község;Vas;Körmend;1126;445;188
Magyarszék;község;Baranya;Komló;1386;1020;384
Magyarszentmiklós;község;Zala;Nagykanizsa;419;248;102
Magyarszerdahely;község;Zala;Nagykanizsa;1622;509;164
Magyarszombatfa;község;Vas;Körmend;1594;249;134
Magyartelek;község;Baranya;Sellye;684;210;71
Majosháza;község;Pest;Szigetszentmiklós;1141;1538;618
Majs;község;Baranya;Mohács;3206;952;393
Makád;község;Pest;Ráckeve;3177;1150;532
Makkoshotyka;község;Borsod-Abaúj-Zemplén;Sárospatak;1040;861;291
Maklár;község;Heves;Eger;2801;2361;968
Makó;város;Csongrád;Makó;22919;22926;11264
Malomsok;község;Veszprém;Pápa;2574;513;241
Mályi;község;Borsod-Abaúj-Zemplén;Miskolc;1129;4016;1511
Mályinka;község;Borsod-Abaúj-Zemplén;Kazincbarcika;2420;447;249
Mánd;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;518;276;107
Mándok;város;Szabolcs-Szatmár-Bereg;Záhony;2891;4143;1458
Mánfa;község;Baranya;Komló;2770;768;320
Mány;község;Fejér;Bicske;4472;2440;860
Maráza;község;Baranya;Mohács;970;172;105
Marcalgergelyi;község;Veszprém;Pápa;776;368;174
Marcali;város;Somogy;Marcali;10440;11541;5166
Marcaltő;község;Veszprém;Pápa;2208;727;334
Márfa;község;Baranya;Siklós;409;193;75
Máriahalom;község;Komárom-Esztergom;Esztergom;1085;601;285
Máriakálnok;község;Győr-Moson-Sopron;Mosonmagyaróvár;1551;1791;628
Máriakéménd;község;Baranya;Bóly;1578;497;213
Márianosztra;község;Pest;Szob;2026;843;383
Máriapócs;város;Szabolcs-Szatmár-Bereg;Nyírbátor;2208;2153;723
Markaz;község;Heves;Gyöngyös;2561;1789;808
Márkháza;község;Nógrád;Salgótarján;631;255;113
Márkó;község;Veszprém;Veszprém;3441;1214;427
Markóc;község;Baranya;Sellye;579;63;30
Markotabödöge;község;Győr-Moson-Sopron;Csorna;1628;474;237
Maróc;község;Zala;Letenye;516;69;70
Marócsa;község;Baranya;Sellye;1138;90;49
Márok;község;Baranya;Siklós;1593;415;183
Márokföld;község;Zala;Lenti;744;47;40
Márokpapi;község;Szabolcs-Szatmár-Bereg;Vásárosnamény;2118;523;222
Maroslele;község;Csongrád;Makó;4654;2025;937
Mártély;község;Csongrád;Hódmezővásárhely;3645;1301;572
Martfű;város;Jász-Nagykun-Szolnok;Szolnok;2308;6305;2931
Martonfa;község;Baranya;Pécsvárad;569;202;84
Martonvásár;város;Fejér;Martonvásár;3125;5540;2109
Martonyi;község;Borsod-Abaúj-Zemplén;Edelény;1757;412;185
Mátészalka;város;Szabolcs-Szatmár-Bereg;Mátészalka;4140;16902;7112
Mátételke;község;Bács-Kiskun;Bácsalmás;2792;475;281
Mátraballa;község;Heves;Pétervására;2636;754;429
Mátraderecske;község;Heves;Pétervására;1399;1926;998
Mátramindszent;község;Nógrád;Bátonyterenye;1673;815;452
Mátranovák;község;Nógrád;Bátonyterenye;2697;1673;1066
Mátraszele;község;Nógrád;Salgótarján;1697;920;468
Mátraszentimre;község;Heves;Gyöngyös;2129;431;288
Mátraszőlős;község;Nógrád;Pásztó;2916;1555;669
Mátraterenye;község;Nógrád;Bátonyterenye;2813;1873;885
Mátraverebély;község;Nógrád;Bátonyterenye;1840;1934;851
Mátyásdomb;község;Fejér;Enying;3539;771;288
Matty;község;Baranya;Siklós;1690;319;145
Mátyus;község;Szabolcs-Szatmár-Bereg;Vásárosnamény;1102;266;141
Máza;község;Baranya;Komló;1069;1195;486
Mecseknádasd;község;Baranya;Pécsvárad;3608;1497;635
Mecsekpölöske;község;Baranya;Komló;731;376;156
Mecsér;község;Győr-Moson-Sopron;Mosonmagyaróvár;2110;586;285
Medgyesbodzás;község;Békés;Mezőkovácsháza;3167;1060;586
Medgyesegyháza;város;Békés;Mezőkovácsháza;6429;3558;1829
Medina;község;Tolna;Szekszárd;2225;806;333
Megyaszó;község;Borsod-Abaúj-Zemplén;Szerencs;5342;2711;865
Megyehíd;község;Vas;Sárvár;598;320;124
Megyer;község;Veszprém;Sümeg;426;23;21
Meggyeskovácsi;község;Vas;Sárvár;2465;685;338
Méhkerék;község;Békés;Sarkad;2585;2085;865
Méhtelek;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;863;759;274
Mekényes;község;Baranya;Sásd;1777;292;142
Mélykút;város;Bács-Kiskun;Jánoshalma;12347;4907;2780
Mencshely;község;Veszprém;Veszprém;1261;223;110
Mende;község;Pest;Nagykáta;2717;4109;1500
Méra;község;Borsod-Abaúj-Zemplén;Encs;1512;1727;576
Merenye;község;Baranya;Szigetvár;1447;249;121
Mérges;község;Győr-Moson-Sopron;Tét;650;85;53
Mérk;nagyközség;Szabolcs-Szatmár-Bereg;Mátészalka;2504;2153;800
Mernye;község;Somogy;Kaposvár;2592;1348;548
Mersevát;község;Vas;Celldömölk;1054;576;234
Mesterháza;község;Vas;Sárvár;419;149;78
Mesteri;község;Vas;Celldömölk;1169;270;132
Mesterszállás;község;Jász-Nagykun-Szolnok;Mezőtúr;4292;702;382
Meszes;község;Borsod-Abaúj-Zemplén;Edelény;1140;191;117
Meszlen;község;Vas;Szombathely;1202;211;96
Mesztegnyő;község;Somogy;Marcali;4469;1391;565
Mezőberény;város;Békés;Békés;11853;10345;4515
Mezőcsát;város;Borsod-Abaúj-Zemplén;Mezőcsát;10309;5882;2436
Mezőcsokonya;község;Somogy;Kaposvár;3077;1183;450
Meződ;község;Baranya;Sásd;1041;129;69
Mezőfalva;nagyközség;Fejér;Dunaújváros;8041;4677;1810
Mezőgyán;község;Békés;Sarkad;5986;1058;501
Mezőhegyes;város;Békés;Mezőkovácsháza;15544;5339;2874
Mezőhék;község;Jász-Nagykun-Szolnok;Mezőtúr;8982;355;163
Mezőkeresztes;város;Borsod-Abaúj-Zemplén;Mezőkövesd;7426;3818;1663
Mezőkomárom;község;Fejér;Enying;2905;955;410
Mezőkovácsháza;város;Békés;Mezőkovácsháza;6259;6141;2925
Mezőkövesd;város;Borsod-Abaúj-Zemplén;Mezőkövesd;10049;16394;7555
Mezőladány;község;Szabolcs-Szatmár-Bereg;Kisvárda;1405;1138;355
Mezőlak;község;Veszprém;Pápa;2157;983;393
Mezőnagymihály;község;Borsod-Abaúj-Zemplén;Mezőkövesd;6186;1040;502
Mezőnyárád;község;Borsod-Abaúj-Zemplén;Mezőkövesd;1406;1603;686
Mezőörs;község;Győr-Moson-Sopron;Győr;4847;943;343
Mezőpeterd;község;Hajdú-Bihar;Berettyóújfalu;1823;599;261
Mezősas;község;Hajdú-Bihar;Berettyóújfalu;2639;665;304
Mezőszemere;község;Heves;Füzesabony;2148;1180;605
Mezőszentgyörgy;község;Fejér;Enying;2712;1305;458
Mezőszilas;község;Fejér;Sárbogárd;6497;2101;819
Mezőtárkány;község;Heves;Füzesabony;4060;1612;701
Mezőtúr;város;Jász-Nagykun-Szolnok;Mezőtúr;28972;16675;7767
Mezőzombor;község;Borsod-Abaúj-Zemplén;Szerencs;3878;2447;865
Miháld;község;Zala;Nagykanizsa;2164;770;359
Mihályfa;község;Zala;Zalaszentgrót;1207;352;174
Mihálygerge;község;Nógrád;Salgótarján;1106;568;308
Mihályháza;község;Veszprém;Pápa;2152;763;312
Mihályi;község;Győr-Moson-Sopron;Kapuvár;1628;1020;461
Mike;község;Somogy;Kaposvár;3241;614;252
Mikebuda;község;Pest;Cegléd;4216;667;298
Mikekarácsonyfa;község;Zala;Lenti;849;262;145
Mikepércs;község;Hajdú-Bihar;Derecske;3693;4480;1558
Miklósi;község;Somogy;Tab;1047;207;120
Mikófalva;község;Heves;Bélapátfalva;1441;698;322
Mikóháza;község;Borsod-Abaúj-Zemplén;Sátoraljaújhely;1690;512;239
Mikosszéplak;község;Vas;Vasvár;1865;305;146
Milejszeg;község;Zala;Zalaegerszeg;907;309;153
Milota;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;1540;909;317
Mindszent;város;Csongrád;Hódmezővásárhely;5932;6777;3169
Mindszentgodisa;község;Baranya;Sásd;2297;856;359
Mindszentkálla;község;Veszprém;Tapolca;1084;241;111
Misefa;község;Zala;Zalaegerszeg;651;270;119
Miske;község;Bács-Kiskun;Kalocsa;4230;1632;737
Miskolc;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;Miskolc;23667;159554;76817
Miszla;község;Tolna;Tamási;3471;270;190
Mocsa;község;Komárom-Esztergom;Komárom;6721;2126;825
Mogyoród;nagyközség;Pest;Gödöllő;3448;6438;2358
Mogyorósbánya;község;Komárom-Esztergom;Esztergom;732;832;310
Mogyoróska;község;Borsod-Abaúj-Zemplén;Gönc;1917;83;107
Moha;község;Fejér;Székesfehérvár;988;586;230
Mohács;város;Baranya;Mohács;11223;17433;8421
Mohora;község;Nógrád;Balassagyarmat;1595;960;382
